model,eval_mse,eval_rmse,r2_score
XGBRegressor,734.5775929962042,27.1030919453151,0.574618956175843
SVR,733.1419513439209,27.07659416071233,0.5754503111619307
KNeighborsRegressor,988.70734375,31.443717079092288,0.4274568596551817
RandomForestRegressor,815.14289524,28.55070743852068,0.5279649979129865
SVR,723.2276880327881,26.89289289073952,0.5811914877459258
SVR,720.940691601591,26.850338761393512,0.582515847402959
SVR,723.3973372338234,26.896046870010903,0.5810932468590428
SVR,707.1335234076628,26.59198231436804,0.5905113371573263
SVR,809.9922376616772,28.460362570804985,0.5309476536840549
SVR,735.7503227732641,27.1247179298378,0.5739398488610465
SVR,707.1335234076628,26.59198231436804,0.5905113371573263
SVR,707.1930758527997,26.59310203516693,0.5904768513773131
SVR,707.3745642807396,26.59651413777264,0.5903717546010772
SVR,707.1335234076628,26.59198231436804,0.5905113371573263
RandomForestRegressor,808.8177543100003,28.43972141758777,0.5316277764632602
Ridge_0.01,1518.4141761122,38.96683430960488,0.12071289221131676
Lasso_0.01,1586.584482823622,39.83195303802742,0.08123665919903722
Ridge_0.1,1829.656454614602,42.77448368612533,-0.05952207081218086
Lasso_0.1,1581.3337661405449,39.76598755394546,0.08427725744865433
Ridge_1,2447.8129070807463,49.47537677553094,-0.417485667175302
Lasso_1,1540.0020975531481,39.242860465989835,0.10821170425772253
Ridge_10,1861.0748562880174,43.14017682263272,-0.07771591803342748
Lasso_10,2685.8684740190038,51.82536516049842,-0.555339484822134
Ridge_100,3711.4459909655016,60.92163811787649,-1.1492334979812617
Lasso_100,1957.3188487887364,44.24159636347604,-0.13344913176347362
